Trie constructed
shortlist size: 100
Word counts size: 881233
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 7625530
Initial setup phase: 20162 ms
1. |Ġ [c4 a0 ] | 293878415  | 1983 ms | 3666 ms | num. checks: 7625530
2. |Ġthe [c4 a0 74 68 65 ] | 65603622  | 37 ms | 46 ms | num. checks: 100
3. |tion [74 69 6f 6e ] | 38022564  | 6 ms | 142 ms | num. checks: 5
4. |Ġa [c4 a0 61 ] | 31398766  | 21 ms | 79 ms | num. checks: 100
5. |in [69 6e ] | 28914807  | 18 ms | 309 ms | num. checks: 1
6. |Ġof [c4 a0 6f 66 ] | 25818144  | 22 ms | 24 ms | num. checks: 100
7. |er [65 72 ] | 23073000  | 18 ms | 351 ms | num. checks: 3
8. |re [72 65 ] | 19599020  | 25 ms | 185 ms | num. checks: 100
9. |Ġs [c4 a0 73 ] | 19470966  | 23 ms | 114 ms | num. checks: 100
10. |Ġt [c4 a0 74 ] | 17690985  | 0 ms | 38 ms | num. checks: 0
11. |en [65 6e ] | 17483002  | 12 ms | 232 ms | num. checks: 1
12. |Ġco [c4 a0 63 6f ] | 17253460  | 20 ms | 61 ms | num. checks: 100
13. |al [61 6c ] | 15651118  | 22 ms | 233 ms | num. checks: 3
14. |Ġand [c4 a0 61 6e 64 ] | 14965926  | 25 ms | 26 ms | num. checks: 100
15. |at [61 74 ] | 14499896  | 13 ms | 172 ms | num. checks: 2
16. |or [6f 72 ] | 13801221  | 21 ms | 165 ms | num. checks: 100
17. |Ġp [c4 a0 70 ] | 13412834  | 18 ms | 103 ms | num. checks: 100
18. |es [65 73 ] | 13169901  | 18 ms | 185 ms | num. checks: 3
19. |is [69 73 ] | 12415278  | 13 ms | 158 ms | num. checks: 100
20. |ic [69 63 ] | 12351213  | 16 ms | 240 ms | num. checks: 100
21. |Ġwith [c4 a0 77 69 74 68 ] | 11910484  | 22 ms | 23 ms | num. checks: 100
22. |Ġf [c4 a0 66 ] | 11888497  | 0 ms | 26 ms | num. checks: 0
23. |on [6f 6e ] | 11783625  | 14 ms | 214 ms | num. checks: 5
24. |ed [65 64 ] | 11381544  | 23 ms | 145 ms | num. checks: 100
25. |ar [61 72 ] | 10704470  | 13 ms | 182 ms | num. checks: 100
26. |Ġd [c4 a0 64 ] | 10485740  | 19 ms | 76 ms | num. checks: 100
27. |Ġin [c4 a0 69 6e ] | 10412309  | 0 ms | 35 ms | num. checks: 0
28. |an [61 6e ] | 10339036  | 14 ms | 225 ms | num. checks: 1
29. |Ġm [c4 a0 6d ] | 10000964  | 17 ms | 89 ms | num. checks: 100
30. |ro [72 6f ] | 9890598  | 10 ms | 149 ms | num. checks: 3
31. |ing [69 6e 67 ] | 9450737  | 10 ms | 126 ms | num. checks: 100
32. |it [69 74 ] | 8902515  | 10 ms | 166 ms | num. checks: 35
33. |Ġb [c4 a0 62 ] | 8782275  | 9 ms | 40 ms | num. checks: 19
34. |le [6c 65 ] | 7777016  | 7 ms | 117 ms | num. checks: 1
35. |Ġe [c4 a0 65 ] | 7286537  | 13 ms | 50 ms | num. checks: 100
36. |ent [65 6e 74 ] | 7117529  | 4 ms | 77 ms | num. checks: 1
37. |Ġw [c4 a0 77 ] | 6976950  | 9 ms | 18 ms | num. checks: 26
38. |ation [61 74 69 6f 6e ] | 6924537  | 8 ms | 103 ms | num. checks: 2
39. |et [65 74 ] | 6850425  | 9 ms | 143 ms | num. checks: 100
