Trie constructed
shortlist size: 100
Word counts size: 6527614
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 97870366
Initial setup phase: 289052 ms
1. |Ġ [c4 a0 ] | 3145729921  | 35683 ms | 52361 ms | num. checks: 97870366
2. |Ġthe [c4 a0 74 68 65 ] | 518338041  | 1014 ms | 1045 ms | num. checks: 100
3. |Ġa [c4 a0 61 ] | 338642959  | 24 ms | 573 ms | num. checks: 3
4. |in [69 6e ] | 329102835  | 181 ms | 3118 ms | num. checks: 5
5. |tion [74 69 6f 6e ] | 311792547  | 329 ms | 1053 ms | num. checks: 100
6. |re [72 65 ] | 288968713  | 299 ms | 1860 ms | num. checks: 100
7. |Ġof [c4 a0 6f 66 ] | 239107940  | 283 ms | 294 ms | num. checks: 100
8. |Ġand [c4 a0 61 6e 64 ] | 208678240  | 0 ms | 14 ms | num. checks: 0
9. |er [65 72 ] | 189417743  | 234 ms | 2896 ms | num. checks: 5
10. |en [65 6e ] | 189094472  | 285 ms | 2791 ms | num. checks: 84
11. |Ġs [c4 a0 73 ] | 171618858  | 212 ms | 708 ms | num. checks: 74
12. |ed [65 64 ] | 170807117  | 52 ms | 824 ms | num. checks: 1
13. |Ġt [c4 a0 74 ] | 169010726  | 187 ms | 567 ms | num. checks: 62
14. |at [61 74 ] | 165700406  | 109 ms | 2294 ms | num. checks: 1
15. |Ġwith [c4 a0 77 69 74 68 ] | 160101516  | 219 ms | 225 ms | num. checks: 52
16. |Ġc [c4 a0 63 ] | 159569090  | 0 ms | 584 ms | num. checks: 0
17. |al [61 6c ] | 149550259  | 182 ms | 2071 ms | num. checks: 3
18. |or [6f 72 ] | 144615693  | 192 ms | 1567 ms | num. checks: 37
19. |Ġp [c4 a0 70 ] | 143649444  | 170 ms | 956 ms | num. checks: 28
20. |on [6f 6e ] | 137295852  | 114 ms | 1890 ms | num. checks: 1
21. |Ġin [c4 a0 69 6e ] | 135926758  | 162 ms | 341 ms | num. checks: 23
22. |es [65 73 ] | 132628078  | 154 ms | 1503 ms | num. checks: 4
23. |ic [69 63 ] | 117251291  | 181 ms | 1940 ms | num. checks: 20
24. |is [69 73 ] | 114393943  | 173 ms | 1532 ms | num. checks: 17
25. |an [61 6e ] | 109120487  | 180 ms | 2475 ms | num. checks: 15
26. |Ġw [c4 a0 77 ] | 103030335  | 184 ms | 229 ms | num. checks: 14
27. |Ġf [c4 a0 66 ] | 102689277  | 0 ms | 171 ms | num. checks: 0
28. |ro [72 6f ] | 101387752  | 95 ms | 1714 ms | num. checks: 1
29. |Ġd [c4 a0 64 ] | 100987428  | 132 ms | 544 ms | num. checks: 11
30. |Ġm [c4 a0 6d ] | 100674353  | 0 ms | 483 ms | num. checks: 0
31. |as [61 73 ] | 97559147  | 75 ms | 1128 ms | num. checks: 1
32. |Ġb [c4 a0 62 ] | 91154757  | 252 ms | 487 ms | num. checks: 5
33. |ar [61 72 ] | 87850990  | 116 ms | 1716 ms | num. checks: 4
34. |ent [65 6e 74 ] | 86811471  | 79 ms | 645 ms | num. checks: 3
35. |ing [69 6e 67 ] | 85981223  | 128 ms | 684 ms | num. checks: 2
36. |it [69 74 ] | 81848396  | 71 ms | 1207 ms | num. checks: 1
37. |Ġ( [c4 a0 28 ] | 76655641  | 0 ms | 20 ms | num. checks: 0
38. |Ġre [c4 a0 72 65 ] | 74324304  | 266 ms | 410 ms | num. checks: 100
39. |le [6c 65 ] | 72327456  | 113 ms | 938 ms | num. checks: 2
40. |Ġe [c4 a0 65 ] | 69581900  | 260 ms | 469 ms | num. checks: 100
41. |ĠThe [c4 a0 54 68 65 ] | 66935175  | 0 ms | 8 ms | num. checks: 0
42. |Ġto [c4 a0 74 6f ] | 63590052  | 68 ms | 89 ms | num. checks: 1
43. |el [65 6c ] | 62466209  | 80 ms | 912 ms | num. checks: 5
44. |ct [63 74 ] | 60622742  | 165 ms | 1217 ms | num. checks: 100
45. |ation [61 74 69 6f 6e ] | 58861109  | 138 ms | 648 ms | num. checks: 100
46. |Ġh [c4 a0 68 ] | 56491328  | 110 ms | 442 ms | num. checks: 100
47. |us [75 73 ] | 54430602  | 48 ms | 720 ms | num. checks: 1
48. |Ġwere [c4 a0 77 65 72 65 ] | 53370670  | 128 ms | 130 ms | num. checks: 9
49. |om [6f 6d ] | 50736112  | 70 ms | 953 ms | num. checks: 3
50. |ul [75 6c ] | 48530425  | 126 ms | 842 ms | num. checks: 100
51. |Ġth [c4 a0 74 68 ] | 48224003  | 102 ms | 147 ms | num. checks: 100
52. |ig [69 67 ] | 48162977  | 104 ms | 506 ms | num. checks: 3
53. |iv [69 76 ] | 48138900  | 83 ms | 454 ms | num. checks: 5
54. |et [65 74 ] | 47319052  | 117 ms | 1310 ms | num. checks: 33
55. |Ġn [c4 a0 6e ] | 46141613  | 102 ms | 419 ms | num. checks: 27
56. |Ġpatients [c4 a0 70 61 74 69 65 6e 74 73 ] | 45437228  | 0 ms | 1 ms | num. checks: 0
57. |Ġstud [c4 a0 73 74 75 64 ] | 45407310  | 0 ms | 2 ms | num. checks: 0
58. |os [6f 73 ] | 44741513  | 119 ms | 1296 ms | num. checks: 4
59. |ol [6f 6c ] | 44495349  | 104 ms | 1283 ms | num. checks: 21
60. |im [69 6d ] | 43987306  | 98 ms | 702 ms | num. checks: 15
61. |Ġdifferen [c4 a0 64 69 66 66 65 72 65 6e ] | 43329054  | 65 ms | 68 ms | num. checks: 14
62. |ur [75 72 ] | 42023452  | 39 ms | 556 ms | num. checks: 1
63. |Ġl [c4 a0 6c ] | 41355742  | 96 ms | 237 ms | num. checks: 12
64. |id [69 64 ] | 41223285  | 59 ms | 1075 ms | num. checks: 1
65. |Ġsignificant [c4 a0 73 69 67 6e 69 66 69 63 61 6e 74 ] | 40647166  | 0 ms | 1 ms | num. checks: 0
66. |ot [6f 74 ] | 40054430  | 99 ms | 763 ms | num. checks: 7
67. |ly [6c 79 ] | 38083128  | 87 ms | 412 ms | num. checks: 4
68. |un [75 6e ] | 36257948  | 52 ms | 765 ms | num. checks: 2
69. |� [e2 80 ] | 35120252  | 0 ms | 55 ms | num. checks: 0
70. |Ġg [c4 a0 67 ] | 34950232  | 217 ms | 443 ms | num. checks: 100
71. |ce [63 65 ] | 34842835  | 23 ms | 321 ms | num. checks: 1
72. |Ġfor [c4 a0 66 6f 72 ] | 34544577  | 177 ms | 192 ms | num. checks: 100
73. |il [69 6c ] | 33286923  | 53 ms | 773 ms | num. checks: 2
74. |res [72 65 73 ] | 33253337  | 185 ms | 447 ms | num. checks: 89
75. |Ġcon [c4 a0 63 6f 6e ] | 32676089  | 72 ms | 137 ms | num. checks: 11
76. |ra [72 61 ] | 31923416  | 71 ms | 943 ms | num. checks: 4
77. |ch [63 68 ] | 31851455  | 103 ms | 1167 ms | num. checks: 9
