Trie constructed
shortlist size: 100
Word counts size: 105505
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 884630
Initial setup phase: 1897 ms
1. |Ġ [c4 a0 ] | 30035114  | 237 ms | 443 ms | num. checks: 884630
2. |Ġthe [c4 a0 74 68 65 ] | 8286735  | 6 ms | 7 ms | num. checks: 100
3. |tion [74 69 6f 6e ] | 4043268  | 2 ms | 42 ms | num. checks: 7
4. |Ġof [c4 a0 6f 66 ] | 3300812  | 1 ms | 1 ms | num. checks: 1
5. |Ġand [c4 a0 61 6e 64 ] | 3262209  | 4 ms | 4 ms | num. checks: 100
6. |in [69 6e ] | 2782359  | 0 ms | 98 ms | num. checks: 1
7. |re [72 65 ] | 2384688  | 6 ms | 65 ms | num. checks: 77
8. |Ġt [c4 a0 74 ] | 2299618  | 4 ms | 14 ms | num. checks: 48
9. |Ġa [c4 a0 61 ] | 2171690  | 0 ms | 16 ms | num. checks: 1
10. |er [65 72 ] | 1910147  | 4 ms | 72 ms | num. checks: 2
11. |en [65 6e ] | 1824071  | 5 ms | 62 ms | num. checks: 41
12. |Ġco [c4 a0 63 6f ] | 1782132  | 4 ms | 17 ms | num. checks: 12
13. |it [69 74 ] | 1622191  | 3 ms | 37 ms | num. checks: 2
14. |Ġw [c4 a0 77 ] | 1404713  | 4 ms | 7 ms | num. checks: 23
15. |es [65 73 ] | 1365110  | 3 ms | 59 ms | num. checks: 1
16. |Ġs [c4 a0 73 ] | 1363207  | 3 ms | 25 ms | num. checks: 3
17. |or [6f 72 ] | 1320820  | 2 ms | 33 ms | num. checks: 2
18. |at [61 74 ] | 1291572  | 2 ms | 45 ms | num. checks: 1
19. |is [69 73 ] | 1281159  | 4 ms | 51 ms | num. checks: 12
20. |al [61 6c ] | 1279005  | 4 ms | 52 ms | num. checks: 100
21. |Ġp [c4 a0 70 ] | 1251643  | 4 ms | 23 ms | num. checks: 20
22. |on [6f 6e ] | 1224984  | 3 ms | 40 ms | num. checks: 2
23. |an [61 6e ] | 1187642  | 4 ms | 53 ms | num. checks: 10
24. |Ġin [c4 a0 69 6e ] | 1158876  | 3 ms | 17 ms | num. checks: 9
25. |ed [65 64 ] | 1137380  | 3 ms | 46 ms | num. checks: 1
26. |Ġto [c4 a0 74 6f ] | 1111504  | 4 ms | 5 ms | num. checks: 100
27. |Ġf [c4 a0 66 ] | 980142  | 0 ms | 8 ms | num. checks: 0
28. |Ġbe [c4 a0 62 65 ] | 957046  | 0 ms | 1 ms | num. checks: 0
