None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Trie constructed
shortlist size: 100
Word counts size: 2737555
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 60410961
Initial setup phase: 200154 ms
1. |Ġ� [c4 a0 e3 81 ] | 657532473  | 26365 ms | 26582 ms | num. checks: 60410961
2. |Ġ [c4 a0 ] | 312428477  | 1025 ms | 11305 ms | num. checks: 5
3. |� [e3 82 ] | 154939898  | 1798 ms | 17733 ms | num. checks: 100
4. |� [e3 83 ] | 139428115  | 781 ms | 14731 ms | num. checks: 6
5. |� [e3 81 ] | 82664684  | 162 ms | 570 ms | num. checks: 3
6. |� [e3 80 ] | 66962137  | 74 ms | 92 ms | num. checks: 2
7. |Ġ� [c4 a0 e5 ] | 65892735  | 521 ms | 807 ms | num. checks: 100
8. |Ġ� [c4 a0 e3 82 ] | 51827225  | 0 ms | 3850 ms | num. checks: 0
9. |Ġ� [c4 a0 e6 ] | 40952667  | 0 ms | 229 ms | num. checks: 0
10. |Ġの [c4 a0 e3 81 ae ] | 32788046  | 0 ms | 1 ms | num. checks: 0
11. |、 [e3 80 81 ] | 32009407  | 0 ms | 3 ms | num. checks: 1
12. |Ġ� [c4 a0 e7 ] | 30602305  | 0 ms | 154 ms | num. checks: 0
13. |Ġに [c4 a0 e3 81 ab ] | 24586772  | 0 ms | 1 ms | num. checks: 0
14. |Ġ� [c4 a0 e8 ] | 24192835  | 0 ms | 133 ms | num. checks: 0
15. |。 [e3 80 82 ] | 22555924  | 0 ms | 0 ms | num. checks: 1
16. |Ġ� [c4 a0 e4 ] | 21277963  | 0 ms | 107 ms | num. checks: 0
17. |Ġ� [c4 a0 e9 ] | 21197930  | 0 ms | 122 ms | num. checks: 0
18. |る [e3 82 8b ] | 20603931  | 756 ms | 788 ms | num. checks: 3
19. |ー [e3 83 bc ] | 19762524  | 394 ms | 8639 ms | num. checks: 100
20. |年 [e5 b9 b4 ] | 19711880  | 0 ms | 2 ms | num. checks: 0
21. |Ġた [c4 a0 e3 81 9f ] | 19556782  | 528 ms | 533 ms | num. checks: 4
22. |Ġは [c4 a0 e3 81 af ] | 18235353  | 0 ms | 4 ms | num. checks: 0
23. |Ġ� [c4 a0 e3 83 ] | 16386064  | 0 ms | 4366 ms | num. checks: 0
24. |Ġを [c4 a0 e3 82 92 ] | 16315155  | 0 ms | 0 ms | num. checks: 0
25. |ン [e3 83 b3 ] | 14758694  | 468 ms | 7100 ms | num. checks: 5
26. |Ġて [c4 a0 e3 81 a6 ] | 14717844  | 0 ms | 2 ms | num. checks: 0
27. |Ġで [c4 a0 e3 81 a7 ] | 14338203  | 0 ms | 0 ms | num. checks: 1
28. |� [ef bc ] | 13791970  | 0 ms | 25 ms | num. checks: 0
29. |Ġが [c4 a0 e3 81 8c ] | 13444102  | 0 ms | 1 ms | num. checks: 0
30. |Ġし [c4 a0 e3 81 97 ] | 12913118  | 319 ms | 327 ms | num. checks: 100
31. |Ġと [c4 a0 e3 81 a8 ] | 12890053  | 0 ms | 3 ms | num. checks: 0
32. |Ġな� [c4 a0 e3 81 aa e3 81 ] | 11712224  | 0 ms | 2 ms | num. checks: 0
33. |Ġから [c4 a0 e3 81 8b e3 82 89 ] | 9640770  | 0 ms | 0 ms | num. checks: 1
34. |ル [e3 83 ab ] | 8481378  | 269 ms | 4944 ms | num. checks: 33
35. |Ġある [c4 a0 e3 81 82 e3 82 8b ] | 8470316  | 0 ms | 0 ms | num. checks: 0
36. |� [e6 9c ] | 8248481  | 228 ms | 272 ms | num. checks: 1
37. |Ġする [c4 a0 e3 81 99 e3 82 8b ] | 8143392  | 0 ms | 0 ms | num. checks: 0
38. |Ġいる [c4 a0 e3 81 84 e3 82 8b ] | 8137306  | 1 ms | 1 ms | num. checks: 1
39. |Ġこと [c4 a0 e3 81 93 e3 81 a8 ] | 7974855  | 293 ms | 293 ms | num. checks: 80
40. |Ġれ [c4 a0 e3 82 8c ] | 7758152  | 0 ms | 0 ms | num. checks: 0
41. |Ġ� [c4 a0 e4 b8 ] | 7757672  | 0 ms | 51 ms | num. checks: 0
42. |ス [e3 82 b9 ] | 7696774  | 201 ms | 4572 ms | num. checks: 2
43. |日 [e6 97 a5 ] | 7613260  | 1 ms | 8 ms | num. checks: 1
44. |・ [e3 83 bb ] | 7367528  | 0 ms | 0 ms | num. checks: 0
45. |ー� [e3 83 bc e3 83 ] | 7042920  | 228 ms | 4261 ms | num. checks: 100
46. |（ [ef bc 88 ] | 6501692  | 0 ms | 2 ms | num. checks: 0
47. |） [ef bc 89 ] | 6498713  | 226 ms | 228 ms | num. checks: 2
48. |り [e3 82 8a ] | 6448372  | 0 ms | 74 ms | num. checks: 0
49. |っ [e3 81 a3 ] | 6222787  | 203 ms | 245 ms | num. checks: 100
50. |の [e3 81 ae ] | 6055107  | 177 ms | 194 ms | num. checks: 100
51. |Ġさ [c4 a0 e3 81 95 ] | 5998852  | 166 ms | 171 ms | num. checks: 2
52. |イ [e3 82 a4 ] | 5762167  | 156 ms | 3587 ms | num. checks: 1
53. |リ [e3 83 aa ] | 5550020  | 157 ms | 3031 ms | num. checks: 100
54. |ト [e3 83 88 ] | 5444674  | 154 ms | 3127 ms | num. checks: 3
55. |Ġ大 [c4 a0 e5 a4 a7 ] | 5419332  | 12 ms | 25 ms | num. checks: 2
56. |い [e3 81 84 ] | 5350696  | 8 ms | 68 ms | num. checks: 1
57. |Ġも [c4 a0 e3 82 82 ] | 5348904  | 203 ms | 206 ms | num. checks: 100
58. |� [e4 b8 ] | 5265193  | 17 ms | 115 ms | num. checks: 2
59. |� [e7 94 ] | 4925688  | 148 ms | 322 ms | num. checks: 4
60. |ラ [e3 83 a9 ] | 4894894  | 133 ms | 2926 ms | num. checks: 3
61. |ッ [e3 83 83 ] | 4893022  | 185 ms | 3057 ms | num. checks: 100
62. |れ [e3 82 8c ] | 4595574  | 0 ms | 33 ms | num. checks: 0
63. |Ġ� [c4 a0 e5 85 ] | 4390044  | 145 ms | 164 ms | num. checks: 100
64. |し [e3 81 97 ] | 4342033  | 9 ms | 80 ms | num. checks: 1
65. |ク [e3 82 af ] | 4276501  | 133 ms | 2892 ms | num. checks: 8
66. |� [e4 ba ] | 4248054  | 127 ms | 173 ms | num. checks: 3
67. |ア [e3 82 a2 ] | 4173867  | 121 ms | 2462 ms | num. checks: 2
68. |う [e3 81 86 ] | 4116704  | 0 ms | 52 ms | num. checks: 0
69. |Ġい [c4 a0 e3 81 84 ] | 4049542  | 95 ms | 101 ms | num. checks: 4
70. |月 [e6 9c 88 ] | 4043354  | 0 ms | 3 ms | num. checks: 0
71. |Ġ� [c4 a0 e5 8f ] | 4019586  | 3 ms | 16 ms | num. checks: 1
72. |「 [e3 80 8c ] | 3928613  | 0 ms | 2 ms | num. checks: 0
73. |」 [e3 80 8d ] | 3927892  | 7 ms | 8 ms | num. checks: 4
74. |Ġな [c4 a0 e3 81 aa ] | 3857330  | 0 ms | 0 ms | num. checks: 0
75. |� [e5 ae ] | 3797438  | 5 ms | 38 ms | num. checks: 1
76. |Ġ� [c4 a0 e4 ba ] | 3762860  | 3 ms | 17 ms | num. checks: 1
77. |20 [32 30 ] | 3741449  | 0 ms | 12 ms | num. checks: 0
78. |ン� [e3 83 b3 e3 83 ] | 3735291  | 135 ms | 2802 ms | num. checks: 100
79. |19 [31 39 ] | 3688888  | 0 ms | 14 ms | num. checks: 0
80. |Ġよ [c4 a0 e3 82 88 ] | 3531045  | 0 ms | 2 ms | num. checks: 0
81. |� [e5 90 ] | 3502200  | 117 ms | 142 ms | num. checks: 100
82. |Ġ� [c4 a0 e5 90 ] | 3468324  | 95 ms | 104 ms | num. checks: 84
83. |ー� [e3 83 bc e3 82 ] | 3439567  | 0 ms | 2110 ms | num. checks: 0
84. |Ġ出 [c4 a0 e5 87 ba ] | 3439516  | 0 ms | 2 ms | num. checks: 0
85. |�� [ad a6 ] | 3384939  | 5 ms | 12 ms | num. checks: 4
86. |� [e4 bb ] | 3253975  | 116 ms | 140 ms | num. checks: 58
87. |め [e3 82 81 ] | 3249417  | 3 ms | 23 ms | num. checks: 1
88. |Ġ日本 [c4 a0 e6 97 a5 e6 9c ac ] | 3207160  | 0 ms | 0 ms | num. checks: 0
89. |Ġ� [c4 a0 e5 ae ] | 3156001  | 4 ms | 20 ms | num. checks: 1
90. |ン� [e3 83 b3 e3 82 ] | 3153748  | 0 ms | 2227 ms | num. checks: 0
91. |Ġ後 [c4 a0 e5 be 8c ] | 3062508  | 71 ms | 73 ms | num. checks: 100
92. |Ġま� [c4 a0 e3 81 be e3 81 ] | 3046244  | 0 ms | 3 ms | num. checks: 0
93. |Ġ� [c4 a0 e4 bd ] | 2997473  | 0 ms | 7 ms | num. checks: 0
94. |Ġ的 [c4 a0 e7 9a 84 ] | 2981936  | 0 ms | 0 ms | num. checks: 0
95. |Ġ� [c4 a0 e5 88 ] | 2974736  | 0 ms | 6 ms | num. checks: 0
96. |� [e4 bd ] | 2917324  | 110 ms | 126 ms | num. checks: 100
97. |Ġ� [c4 a0 e4 bb ] | 2901096  | 126 ms | 134 ms | num. checks: 100
98. |Ġ� [c4 a0 e6 9c ] | 2896523  | 0 ms | 13 ms | num. checks: 0
99. |�� [a1 8c ] | 2812250  | 0 ms | 5 ms | num. checks: 1
100. |Ġ地 [c4 a0 e5 9c b0 ] | 2787626  | 4 ms | 5 ms | num. checks: 6
101. |� [e5 88 ] | 2784500  | 2 ms | 20 ms | num. checks: 1
102. |Ġ� [c4 a0 e7 94 ] | 2766458  | 3 ms | 14 ms | num. checks: 4
103. |と [e3 81 a8 ] | 2762209  | 3 ms | 19 ms | num. checks: 3
104. |国 [e5 9b bd ] | 2758142  | 114 ms | 118 ms | num. checks: 7
105. |ィ [e3 82 a3 ] | 2739098  | 1 ms | 2272 ms | num. checks: 1
106. |Ġ� [c4 a0 e9 81 ] | 2697662  | 3 ms | 10 ms | num. checks: 3
107. |� [e9 80 ] | 2688922  | 2 ms | 17 ms | num. checks: 1
108. |Ġられ [c4 a0 e3 82 89 e3 82 8c ] | 2675742  | 0 ms | 0 ms | num. checks: 0
109. |Ġ国 [c4 a0 e5 9b bd ] | 2670584  | 94 ms | 96 ms | num. checks: 100
110. |Ġ発 [c4 a0 e7 99 ba ] | 2659318  | 0 ms | 0 ms | num. checks: 0
111. |く [e3 81 8f ] | 2651075  | 5 ms | 42 ms | num. checks: 1
112. |ロ [e3 83 ad ] | 2623980  | 89 ms | 1775 ms | num. checks: 82
113. |け [e3 81 91 ] | 2613006  | 96 ms | 120 ms | num. checks: 3
114. |� [e5 a4 ] | 2610034  | 82 ms | 126 ms | num. checks: 3
115. |レ [e3 83 ac ] | 2605661  | 80 ms | 1576 ms | num. checks: 6
116. |� [e5 85 ] | 2597781  | 7 ms | 48 ms | num. checks: 1
117. |Ġ時 [c4 a0 e6 99 82 ] | 2592288  | 9 ms | 10 ms | num. checks: 4
118. |き [e3 81 8d ] | 2573622  | 1 ms | 38 ms | num. checks: 1
119. |か [e3 81 8b ] | 2561923  | 7 ms | 49 ms | num. checks: 2
120. |� [e5 8f ] | 2522155  | 4 ms | 43 ms | num. checks: 1
121. |Ġ者 [c4 a0 e8 80 85 ] | 2500330  | 0 ms | 0 ms | num. checks: 0
122. |Ġあ [c4 a0 e3 81 82 ] | 2489577  | 76 ms | 83 ms | num. checks: 100
123. |ま [e3 81 be ] | 2469338  | 4 ms | 29 ms | num. checks: 1
124. |Ġ� [c4 a0 e9 96 ] | 2466368  | 104 ms | 108 ms | num. checks: 100
125. |こ [e3 81 93 ] | 2426761  | 2 ms | 19 ms | num. checks: 1
126. |Ġ� [c4 a0 e8 a8 ] | 2416965  | 6 ms | 8 ms | num. checks: 5
127. |Ġ� [c4 a0 e9 80 ] | 2412671  | 0 ms | 6 ms | num. checks: 0
128. |Ġ� [c4 a0 e5 a4 ] | 2401322  | 0 ms | 12 ms | num. checks: 0
129. |ら [e3 82 89 ] | 2399210  | 6 ms | 41 ms | num. checks: 2
130. |業 [e6 a5 ad ] | 2357482  | 0 ms | 1 ms | num. checks: 0
131. |Ġ市 [c4 a0 e5 b8 82 ] | 2345930  | 0 ms | 1 ms | num. checks: 0
132. |Ġ� [c4 a0 e7 b5 ] | 2312758  | 107 ms | 111 ms | num. checks: 100
133. |シ [e3 82 b7 ] | 2311164  | 0 ms | 1947 ms | num. checks: 0
134. |Ġ会 [c4 a0 e4 bc 9a ] | 2267594  | 0 ms | 0 ms | num. checks: 0
135. |� [e5 9c ] | 2259676  | 83 ms | 100 ms | num. checks: 100
136. |� [e6 88 ] | 2253897  | 87 ms | 102 ms | num. checks: 100
137. |� [e5 8b ] | 2239772  | 2 ms | 10 ms | num. checks: 3
138. |Ġ� [c4 a0 e6 96 ] | 2202635  | 2 ms | 12 ms | num. checks: 1
139. |タ [e3 82 bf ] | 2162629  | 69 ms | 1403 ms | num. checks: 1
140. |その [e3 81 9d e3 81 ae ] | 2148686  | 0 ms | 0 ms | num. checks: 0
141. |フ [e3 83 95 ] | 2146391  | 89 ms | 1715 ms | num. checks: 100
142. |� [e9 96 ] | 2125089  | 0 ms | 16 ms | num. checks: 0
143. |Ġ戦 [c4 a0 e6 88 a6 ] | 2124862  | 32 ms | 32 ms | num. checks: 30
144. |子 [e5 ad 90 ] | 2109038  | 0 ms | 26 ms | num. checks: 0
145. |Ġ� [c4 a0 e6 94 ] | 2067672  | 1 ms | 3 ms | num. checks: 2
146. |に [e3 81 ab ] | 2055559  | 0 ms | 4 ms | num. checks: 0
147. |Ġ学校 [c4 a0 e5 ad a6 e6 a0 a1 ] | 2035532  | 0 ms | 0 ms | num. checks: 0
148. |Ġア [c4 a0 e3 82 a2 ] | 2030686  | 37 ms | 531 ms | num. checks: 100
149. |会 [e4 bc 9a ] | 2030052  | 0 ms | 1 ms | num. checks: 0
150. |場 [e5 a0 b4 ] | 2023406  | 0 ms | 5 ms | num. checks: 1
151. |Ġや [c4 a0 e3 82 84 ] | 1996285  | 73 ms | 75 ms | num. checks: 100
152. |�� [83 a8 ] | 1977774  | 0 ms | 7 ms | num. checks: 0
153. |� [e6 9d ] | 1973791  | 5 ms | 39 ms | num. checks: 3
154. |ュ [e3 83 a5 ] | 1951786  | 0 ms | 1364 ms | num. checks: 0
155. |� [e6 96 ] | 1947947  | 76 ms | 102 ms | num. checks: 100
156. |え [e3 81 88 ] | 1936734  | 72 ms | 90 ms | num. checks: 4
157. |� [e5 be ] | 1922705  | 74 ms | 87 ms | num. checks: 6
158. |カ [e3 82 ab ] | 1916534  | 0 ms | 1170 ms | num. checks: 0
159. |た [e3 81 9f ] | 1907380  | 3 ms | 23 ms | num. checks: 1
160. |Ġ対 [c4 a0 e5 af be ] | 1902604  | 0 ms | 0 ms | num. checks: 0
161. |Ġお [c4 a0 e3 81 8a ] | 1895496  | 88 ms | 95 ms | num. checks: 100
162. |Ġ� [c4 a0 e5 8d ] | 1889436  | 0 ms | 16 ms | num. checks: 0
163. |は [e3 81 af ] | 1853174  | 1 ms | 7 ms | num. checks: 1
164. |ャ [e3 83 a3 ] | 1843671  | 0 ms | 1083 ms | num. checks: 0
165. |わ [e3 82 8f ] | 1832131  | 20 ms | 39 ms | num. checks: 40
166. |Ġ自 [c4 a0 e8 87 aa ] | 1815336  | 0 ms | 0 ms | num. checks: 0
167. |『 [e3 80 8e ] | 1800535  | 0 ms | 2 ms | num. checks: 0
168. |』 [e3 80 8f ] | 1800106  | 24 ms | 25 ms | num. checks: 100
169. |Ġ� [c4 a0 e6 89 ] | 1779666  | 0 ms | 5 ms | num. checks: 0
170. |Ġ高 [c4 a0 e9 ab 98 ] | 1767238  | 0 ms | 3 ms | num. checks: 0
171. |Ġ県 [c4 a0 e7 9c 8c ] | 1765446  | 0 ms | 0 ms | num. checks: 0
172. |� [e5 ba ] | 1759518  | 59 ms | 73 ms | num. checks: 55
173. |ジ [e3 82 b8 ] | 1750532  | 0 ms | 1051 ms | num. checks: 0
174. |Ġ� [c4 a0 e5 b0 ] | 1745839  | 3 ms | 17 ms | num. checks: 3
175. |立 [e7 ab 8b ] | 1735566  | 0 ms | 5 ms | num. checks: 1
176. |Ġ中 [c4 a0 e4 b8 ad ] | 1734422  | 1 ms | 7 ms | num. checks: 1
177. |Ġ研究 [c4 a0 e7 a0 94 e7 a9 b6 ] | 1732205  | 0 ms | 0 ms | num. checks: 0
178. |道 [e9 81 93 ] | 1714522  | 82 ms | 88 ms | num. checks: 100
179. |人 [e4 ba ba ] | 1707293  | 6 ms | 11 ms | num. checks: 4
180. |Ġ� [c4 a0 e7 9b ] | 1704040  | 72 ms | 78 ms | num. checks: 26
181. |� [e5 b1 ] | 1702213  | 5 ms | 40 ms | num. checks: 2
182. |手 [e6 89 8b ] | 1701262  | 73 ms | 79 ms | num. checks: 2
183. |テ [e3 83 86 ] | 1690563  | 0 ms | 1347 ms | num. checks: 0
184. |Ġなっ [c4 a0 e3 81 aa e3 81 a3 ] | 1689394  | 0 ms | 0 ms | num. checks: 0
185. |Ġ� [c4 a0 e5 8c ] | 1688778  | 82 ms | 90 ms | num. checks: 100
186. |Ġ� [c4 a0 e6 95 ] | 1681214  | 0 ms | 4 ms | num. checks: 0
187. |ム [e3 83 a0 ] | 1671041  | 0 ms | 945 ms | num. checks: 0
188. |昭和 [e6 98 ad e5 92 8c ] | 1671040  | 0 ms | 0 ms | num. checks: 0
189. |� [e8 a8 ] | 1670498  | 1 ms | 8 ms | num. checks: 1
190. |Ġ� [c4 a0 e5 bd ] | 1669408  | 81 ms | 85 ms | num. checks: 32
191. |ウ [e3 82 a6 ] | 1660438  | 0 ms | 1340 ms | num. checks: 0
192. |時 [e6 99 82 ] | 1641156  | 0 ms | 1 ms | num. checks: 1
193. |Ġれる [c4 a0 e3 82 8c e3 82 8b ] | 1633706  | 0 ms | 0 ms | num. checks: 0
194. |Ġ一 [c4 a0 e4 b8 80 ] | 1632557  | 67 ms | 72 ms | num. checks: 100
195. |Ġ機 [c4 a0 e6 a9 9f ] | 1631394  | 0 ms | 0 ms | num. checks: 0
196. |学 [e5 ad a6 ] | 1616915  | 3 ms | 4 ms | num. checks: 2
197. |� [e8 a6 ] | 1615796  | 2 ms | 13 ms | num. checks: 1
198. |Ġ第 [c4 a0 e7 ac ac ] | 1614810  | 0 ms | 0 ms | num. checks: 0
199. |ド [e3 83 89 ] | 1612469  | 81 ms | 1156 ms | num. checks: 100
200. |Ġ� [c4 a0 e8 aa ] | 1598039  | 0 ms | 2 ms | num. checks: 0
201. |� [e8 a1 ] | 1594388  | 1 ms | 11 ms | num. checks: 1
202. |社 [e7 a4 be ] | 1579816  | 70 ms | 71 ms | num. checks: 100
203. |Ġ� [c4 a0 e8 a6 ] | 1573736  | 0 ms | 5 ms | num. checks: 0
204. |長 [e9 95 b7 ] | 1563596  | 56 ms | 62 ms | num. checks: 28
205. |ん [e3 82 93 ] | 1558649  | 0 ms | 38 ms | num. checks: 0
206. |� [e5 bd ] | 1557203  | 3 ms | 12 ms | num. checks: 2
207. |な [e3 81 aa ] | 1556000  | 2 ms | 18 ms | num. checks: 1
208. |ニ [e3 83 8b ] | 1549965  | 0 ms | 954 ms | num. checks: 0
209. |� [e5 8a ] | 1540479  | 1 ms | 12 ms | num. checks: 1
210. |Ġ場合 [c4 a0 e5 a0 b4 e5 90 88 ] | 1537616  | 0 ms | 0 ms | num. checks: 0
211. |物 [e7 89 a9 ] | 1515088  | 70 ms | 73 ms | num. checks: 100
212. |� [e6 ad ] | 1502700  | 44 ms | 54 ms | num. checks: 38
213. |Ġ� [c4 a0 e6 9d ] | 1498676  | 3 ms | 18 ms | num. checks: 1
214. |��在 [8f be e5 9c a8 ] | 1493580  | 0 ms | 0 ms | num. checks: 0
215. |マ [e3 83 9e ] | 1467871  | 67 ms | 1127 ms | num. checks: 100
216. |Ġ作品 [c4 a0 e4 bd 9c e5 93 81 ] | 1466460  | 0 ms | 0 ms | num. checks: 3
217. |Ġ� [c4 a0 e5 86 ] | 1463305  | 77 ms | 83 ms | num. checks: 100
218. |本 [e6 9c ac ] | 1463114  | 32 ms | 43 ms | num. checks: 2
219. |メ [e3 83 a1 ] | 1452113  | 0 ms | 654 ms | num. checks: 0
220. |オ [e3 82 aa ] | 1440871  | 74 ms | 1183 ms | num. checks: 100
221. |ェ [e3 82 a7 ] | 1440645  | 68 ms | 1318 ms | num. checks: 1
222. |す [e3 81 99 ] | 1424507  | 0 ms | 16 ms | num. checks: 0
223. |Ġ人 [c4 a0 e4 ba ba ] | 1418002  | 0 ms | 0 ms | num. checks: 0
224. |Ġ世界 [c4 a0 e4 b8 96 e7 95 8c ] | 1390508  | 63 ms | 63 ms | num. checks: 71
225. |Ġ番組 [c4 a0 e7 95 aa e7 b5 84 ] | 1389780  | 0 ms | 0 ms | num. checks: 8
226. |� [e6 b0 ] | 1385667  | 21 ms | 36 ms | num. checks: 43
227. |Ġない [c4 a0 e3 81 aa e3 81 84 ] | 1383812  | 0 ms | 0 ms | num. checks: 0
228. |� [e5 b8 ] | 1383026  | 3 ms | 15 ms | num. checks: 2
229. |� [e8 bb ] | 1378793  | 0 ms | 5 ms | num. checks: 1
230. |Ġ放送 [c4 a0 e6 94 be e9 80 81 ] | 1378419  | 0 ms | 0 ms | num. checks: 0
231. |201 [32 30 31 ] | 1373640  | 10 ms | 12 ms | num. checks: 17
232. |� [e5 9b ] | 1371066  | 40 ms | 53 ms | num. checks: 33
233. |ール [e3 83 bc e3 83 ab ] | 1370158  | 0 ms | 735 ms | num. checks: 0
234. |Ġ行 [c4 a0 e8 a1 8c ] | 1367228  | 0 ms | 1 ms | num. checks: 1
235. |Ġなど [c4 a0 e3 81 aa e3 81 a9 ] | 1365334  | 0 ms | 0 ms | num. checks: 0
236. |Ġ� [c4 a0 e5 b7 ] | 1361886  | 58 ms | 64 ms | num. checks: 100
237. |Ġス [c4 a0 e3 82 b9 ] | 1358655  | 0 ms | 259 ms | num. checks: 0
238. |Ġだ [c4 a0 e3 81 a0 ] | 1357461  | 0 ms | 1 ms | num. checks: 0
239. |代 [e4 bb a3 ] | 1353717  | 1 ms | 6 ms | num. checks: 1
240. |Ġため [c4 a0 e3 81 9f e3 82 81 ] | 1353712  | 0 ms | 0 ms | num. checks: 0
241. |Ġ長 [c4 a0 e9 95 b7 ] | 1350748  | 58 ms | 62 ms | num. checks: 100
242. |ョン [e3 83 a7 e3 83 b3 ] | 1346866  | 0 ms | 240 ms | num. checks: 0
243. |ナ [e3 83 8a ] | 1346733  | 53 ms | 923 ms | num. checks: 2
244. |� [e5 b7 ] | 1345718  | 0 ms | 30 ms | num. checks: 0
245. |Ġ� [c4 a0 e8 bb ] | 1333094  | 19 ms | 21 ms | num. checks: 42
246. |ち [e3 81 a1 ] | 1322355  | 0 ms | 21 ms | num. checks: 0
247. |200 [32 30 30 ] | 1313863  | 0 ms | 2 ms | num. checks: 0
248. |� [e9 87 ] | 1312896  | 5 ms | 43 ms | num. checks: 1
249. |Ġ活動 [c4 a0 e6 b4 bb e5 8b 95 ] | 1311588  | 0 ms | 0 ms | num. checks: 0
250. |て [e3 81 a6 ] | 1299447  | 51 ms | 61 ms | num. checks: 100
251. |Ġ� [c4 a0 e6 ad ] | 1298861  | 0 ms | 5 ms | num. checks: 0
252. |用 [e7 94 a8 ] | 1297771  | 0 ms | 1 ms | num. checks: 1
253. |デ [e3 83 87 ] | 1292618  | 0 ms | 886 ms | num. checks: 0
254. |プ [e3 83 97 ] | 1291724  | 45 ms | 927 ms | num. checks: 100
255. |Ġ� [c4 a0 e6 8c ] | 1277314  | 0 ms | 2 ms | num. checks: 0
256. |Ġ前 [c4 a0 e5 89 8d ] | 1272310  | 0 ms | 1 ms | num. checks: 0
257. |員 [e5 93 a1 ] | 1268930  | 51 ms | 52 ms | num. checks: 100
258. |Ġその [c4 a0 e3 81 9d e3 81 ae ] | 1261690  | 0 ms | 0 ms | num. checks: 0
259. |バ [e3 83 90 ] | 1260537  | 0 ms | 783 ms | num. checks: 0
260. |�� [83 bd ] | 1258253  | 55 ms | 60 ms | num. checks: 100
261. |� [e5 bc ] | 1256509  | 2 ms | 13 ms | num. checks: 2
262. |� [e6 95 ] | 1251014  | 1 ms | 8 ms | num. checks: 1
263. |コ [e3 82 b3 ] | 1246907  | 52 ms | 961 ms | num. checks: 3
264. |Ġ� [c4 a0 e7 89 ] | 1241270  | 0 ms | 3 ms | num. checks: 0
265. |� [e7 b4 ] | 1240658  | 32 ms | 42 ms | num. checks: 78
266. |ック [e3 83 83 e3 82 af ] | 1236820  | 0 ms | 685 ms | num. checks: 0
267. |� [e5 8c ] | 1233274  | 1 ms | 12 ms | num. checks: 1
268. |Ġ存在 [c4 a0 e5 ad 98 e5 9c a8 ] | 1217116  | 0 ms | 0 ms | num. checks: 0
269. |理 [e7 90 86 ] | 1212862  | 59 ms | 62 ms | num. checks: 100
270. |Ġか [c4 a0 e3 81 8b ] | 1211760  | 0 ms | 7 ms | num. checks: 0
271. |ブ [e3 83 96 ] | 1207183  | 0 ms | 846 ms | num. checks: 0
272. |出 [e5 87 ba ] | 1201894  | 2 ms | 7 ms | num. checks: 2
273. |Ġ� [c4 a0 e5 bc ] | 1198481  | 46 ms | 52 ms | num. checks: 100
274. |身 [e8 ba ab ] | 1196006  | 3 ms | 4 ms | num. checks: 4
275. |� [e6 98 ] | 1194599  | 0 ms | 12 ms | num. checks: 0
276. |� [e9 99 ] | 1187614  | 35 ms | 45 ms | num. checks: 100
277. |定 [e5 ae 9a ] | 1185259  | 1 ms | 2 ms | num. checks: 2
