None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Trie constructed
shortlist size: 100
Word counts size: 5459833
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 130927124
Initial setup phase: 464657 ms
1. |Ġ [c4 a0 ] | 70904806  | 44289 ms | 80262 ms | num. checks: 130927124
2. |Ġ� [c4 a0 ec ] | 29080690  | 2015 ms | 19340 ms | num. checks: 100
3. |� [ec 9d ] | 18006665  | 733 ms | 14539 ms | num. checks: 1
4. |Ġ� [c4 a0 eb ] | 16677640  | 750 ms | 10182 ms | num. checks: 100
5. |다 [eb 8b a4 ] | 11394452  | 460 ms | 3237 ms | num. checks: 4
6. |에 [ec 97 90 ] | 10324794  | 701 ms | 6524 ms | num. checks: 100
7. |� [ed 95 ] | 9378279  | 630 ms | 6791 ms | num. checks: 100
8. |는 [eb 8a 94 ] | 9265336  | 638 ms | 4668 ms | num. checks: 100
9. |Ġ� [c4 a0 ea ] | 8982329  | 648 ms | 5429 ms | num. checks: 100
10. |으로 [ec 9c bc eb a1 9c ] | 7418165  | 518 ms | 2156 ms | num. checks: 7
11. |Ġ� [c4 a0 ed ] | 5584299  | 470 ms | 4891 ms | num. checks: 100
12. |이 [ec 9d b4 ] | 4962576  | 580 ms | 6909 ms | num. checks: 9
13. |의 [ec 9d 98 ] | 4779359  | 352 ms | 4482 ms | num. checks: 100
14. |고 [ea b3 a0 ] | 4701718  | 279 ms | 2188 ms | num. checks: 100
15. |서 [ec 84 9c ] | 4594820  | 238 ms | 3651 ms | num. checks: 100
16. |로 [eb a1 9c ] | 4356926  | 248 ms | 2926 ms | num. checks: 81
17. |가 [ea b0 80 ] | 4194722  | 232 ms | 2737 ms | num. checks: 74
18. |Ġ이 [c4 a0 ec 9d b4 ] | 3938318  | 233 ms | 784 ms | num. checks: 66
19. |를 [eb a5 bc ] | 3928504  | 227 ms | 1793 ms | num. checks: 16
20. |지 [ec a7 80 ] | 3829916  | 202 ms | 2637 ms | num. checks: 61
21. |년 [eb 85 84 ] | 3685648  | 213 ms | 363 ms | num. checks: 57
22. |하 [ed 95 98 ] | 3629540  | 217 ms | 2219 ms | num. checks: 11
23. |리 [eb a6 ac ] | 3550090  | 208 ms | 2660 ms | num. checks: 52
24. |� [ec a0 ] | 3365982  | 217 ms | 4299 ms | num. checks: 43
