Trie constructed
shortlist size: 100
Word counts size: 8769943
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 93243449
Initial setup phase: 313554 ms
1. |Ġ [c4 a0 ] | 2446576065  | 30534 ms | 54702 ms | num. checks: 93243449
2. |Ġthe [c4 a0 74 68 65 ] | 510483813  | 722 ms | 741 ms | num. checks: 100
3. |Ġa [c4 a0 61 ] | 247128189  | 178 ms | 511 ms | num. checks: 5
4. |in [69 6e ] | 230766715  | 567 ms | 3796 ms | num. checks: 6
5. |er [65 72 ] | 196330613  | 567 ms | 4368 ms | num. checks: 100
6. |Ġof [c4 a0 6f 66 ] | 176556666  | 359 ms | 365 ms | num. checks: 100
7. |on [6f 6e ] | 162396042  | 185 ms | 2612 ms | num. checks: 1
8. |Ġand [c4 a0 61 6e 64 ] | 146436802  | 549 ms | 553 ms | num. checks: 100
9. |ed [65 64 ] | 129958810  | 238 ms | 1040 ms | num. checks: 2
10. |Ġt [c4 a0 74 ] | 123451570  | 545 ms | 806 ms | num. checks: 100
11. |or [6f 72 ] | 122802558  | 402 ms | 2338 ms | num. checks: 4
12. |en [65 6e ] | 115919600  | 403 ms | 3536 ms | num. checks: 100
13. |Ġw [c4 a0 77 ] | 111355191  | 436 ms | 511 ms | num. checks: 100
14. |Ġs [c4 a0 73 ] | 110859096  | 0 ms | 491 ms | num. checks: 0
15. |es [65 73 ] | 110121957  | 711 ms | 2835 ms | num. checks: 12
16. |at [61 74 ] | 108692028  | 574 ms | 3017 ms | num. checks: 85
17. |an [61 6e ] | 108157424  | 380 ms | 4743 ms | num. checks: 68
18. |is [69 73 ] | 99847464  | 436 ms | 2491 ms | num. checks: 61
19. |ar [61 72 ] | 97157215  | 303 ms | 3483 ms | num. checks: 57
20. |it [69 74 ] | 91844727  | 324 ms | 1797 ms | num. checks: 52
21. |al [61 6c ] | 89062782  | 286 ms | 2880 ms | num. checks: 31
22. |Ġin [c4 a0 69 6e ] | 88326320  | 254 ms | 359 ms | num. checks: 45
23. |Ġc [c4 a0 63 ] | 87501513  | 0 ms | 433 ms | num. checks: 0
24. |Ġf [c4 a0 66 ] | 87159754  | 0 ms | 164 ms | num. checks: 0
25. |re [72 65 ] | 80294581  | 93 ms | 1046 ms | num. checks: 1
26. |Ġb [c4 a0 62 ] | 77680319  | 278 ms | 529 ms | num. checks: 39
27. |as [61 73 ] | 75889503  | 129 ms | 1750 ms | num. checks: 1
28. |Ġp [c4 a0 70 ] | 73147161  | 239 ms | 750 ms | num. checks: 31
29. |ĠThe [c4 a0 54 68 65 ] | 72987648  | 0 ms | 24 ms | num. checks: 0
30. |ing [69 6e 67 ] | 70320111  | 71 ms | 878 ms | num. checks: 1
31. |Ġh [c4 a0 68 ] | 68493153  | 189 ms | 405 ms | num. checks: 25
32. |ic [69 63 ] | 66154529  | 157 ms | 1799 ms | num. checks: 4
33. |ou [6f 75 ] | 61865403  | 216 ms | 992 ms | num. checks: 17
34. |ion [69 6f 6e ] | 61451259  | 160 ms | 804 ms | num. checks: 15
35. |Ġto [c4 a0 74 6f ] | 57272250  | 230 ms | 247 ms | num. checks: 13
36. |Ġm [c4 a0 6d ] | 53583404  | 0 ms | 350 ms | num. checks: 0
37. |ro [72 6f ] | 52242741  | 161 ms | 1376 ms | num. checks: 2
38. |le [6c 65 ] | 51512583  | 211 ms | 1334 ms | num. checks: 9
39. |Ġd [c4 a0 64 ] | 51032663  | 165 ms | 442 ms | num. checks: 7
40. |ĠS [c4 a0 53 ] | 46255561  | 0 ms | 1686 ms | num. checks: 0
41. |ent [65 6e 74 ] | 44148663  | 39 ms | 542 ms | num. checks: 1
42. |ĠA [c4 a0 41 ] | 42736631  | 131 ms | 1151 ms | num. checks: 3
43. |il [69 6c ] | 42608288  | 112 ms | 1305 ms | num. checks: 1
44. |ĠC [c4 a0 43 ] | 41784928  | 115 ms | 1201 ms | num. checks: 1
45. |Ġ19 [c4 a0 31 39 ] | 40131946  | 0 ms | 9 ms | num. checks: 0
46. |Ġwith [c4 a0 77 69 74 68 ] | 38774386  | 242 ms | 243 ms | num. checks: 67
47. |el [65 6c ] | 38192813  | 141 ms | 1618 ms | num. checks: 2
48. |am [61 6d ] | 37270503  | 142 ms | 1662 ms | num. checks: 1
49. |Ġ20 [c4 a0 32 30 ] | 36480632  | 0 ms | 5 ms | num. checks: 0
50. |om [6f 6d ] | 35340317  | 222 ms | 1050 ms | num. checks: 100
51. |th [74 68 ] | 34196006  | 204 ms | 1070 ms | num. checks: 71
52. |st [73 74 ] | 34023455  | 158 ms | 1134 ms | num. checks: 20
53. |ol [6f 6c ] | 33667437  | 179 ms | 1397 ms | num. checks: 18
54. |Ġl [c4 a0 6c ] | 32582664  | 159 ms | 287 ms | num. checks: 16
